time,actual_greece_gap,synthetic_greece_gap,difference
2003,27.3,2.70000000006918,24.59999999993082
2004,25.5,4.099999999741437,21.400000000258565
2005,31.199999999999996,5.199999999584571,26.000000000415426
2006,32.1,6.399999999365203,25.700000000634798
2007,32.10000000000001,4.599999999702789,27.50000000029722
2008,34.4,8.099999999736623,26.300000000263374
2009,37.3,11.49999999975082,25.800000000249177
2010,38.300000000000004,18.09999999934233,20.200000000657674
2011,41.2,16.89999999939515,24.300000000604854
2012,49.99999999999999,17.89999999936137,32.10000000063862
2013,55.20000000000001,21.099999999188707,34.100000000811306
2014,55.99999999999999,19.599999999320033,36.40000000067996
2015,56.300000000000004,15.599999999420898,40.70000000057911
2016,55.60000000000001,10.599999999593509,45.0000000004065
2017,56.999999999999986,7.999999999548029,49.000000000451955
2018,55.599999999999994,5.9999999995604405,49.60000000043955
2019,53.1,5.099999999683282,48.00000000031672
2020,52.10000000000001,3.7999999995355744,48.300000000464436
2021,51.4,2.599999999584772,48.800000000415224
2022,49.60000000000001,4.499999999664251,45.100000000335754
2023,48.1,4.599999999777528,43.50000000022247
2024,47.1,4.1999999998831825,42.90000000011682
2025,47.6,2.899999999667552,44.70000000033245
