geo,year,fin_expectations
AL,2016,5.2625
AL,2017,10.166666666666666
AL,2018,7.558333333333334
AL,2019,7.716666666666666
AL,2020,-1.4833333333333332
AL,2021,1.3999999999999997
AL,2022,-5.258333333333334
AL,2023,2.8000000000000003
AL,2024,3.283333333333333
AT,2015,-0.55
AT,2016,1.1583333333333334
AT,2017,2.0500000000000003
AT,2018,3.266666666666666
AT,2019,6.3500000000000005
AT,2020,0.3166666666666666
AT,2021,2.658333333333333
AT,2022,-18.791666666666668
AT,2023,-10.700000000000001
AT,2024,-2.3249999999999997
BE,2015,-2.316666666666667
BE,2016,-2.316666666666667
BE,2017,0.09999999999999999
BE,2018,-0.9500000000000001
BE,2019,-2.0083333333333333
BE,2020,0.19999999999999996
BE,2021,1.0166666666666666
BE,2022,-9.466666666666667
BE,2023,-1.9916666666666665
BE,2024,-1.0333333333333334
BG,2015,-20.866666666666667
BG,2016,-16.533333333333335
BG,2017,-14.049999999999999
BG,2018,-15.316666666666668
BG,2019,-20.925
BG,2020,-15.033333333333333
BG,2021,-8.816666666666666
BG,2022,-21.125
BG,2023,-17.591666666666665
BG,2024,-12.233333333333334
CY,2015,-7.0249999999999995
CY,2016,-0.6583333333333333
CY,2017,4.191666666666666
CY,2018,3.4583333333333335
CY,2019,1.1916666666666667
CY,2020,-11.591666666666667
CY,2021,-7.841666666666666
CY,2022,-20.358333333333334
CY,2023,-10.950000000000001
CY,2024,-13.033333333333333
CZ,2015,7.458333333333333
CZ,2016,9.758333333333333
CZ,2017,10.725
CZ,2018,13.216666666666667
CZ,2019,11.1
CZ,2020,1.8583333333333334
CZ,2021,-1.133333333333333
CZ,2022,-26.575
CZ,2023,-10.566666666666666
CZ,2024,-2.5
DE,2015,8.450000000000001
DE,2016,8.85
DE,2017,9.116666666666667
DE,2018,9.125
DE,2019,8.408333333333333
DE,2020,1.2666666666666666
DE,2021,2.3666666666666667
DE,2022,-11.358333333333334
DE,2023,-4.708333333333333
DE,2024,-0.058333333333333355
DK,2015,13.658333333333333
DK,2016,11.450000000000001
DK,2017,13.783333333333333
DK,2018,13.674999999999999
DK,2019,12.708333333333334
DK,2020,10.866666666666667
DK,2021,11.941666666666668
